,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
0,2020-05-26,Iphone xr,1265072844427325440,bloodmoonbobby,Blood Moon Bobby (Birthday in 17 Days! 🎂),I think the same phone reviewer crying about the size of my iPhone XR bezel is related to the same loser who told m… https://t.co/WZdkOB43Yv,0,0,0,False
1,2020-05-26,Iphone xr,1265071284498706432,GeekMaster88,Geek Master,"Any iPhone XR, XS, and XS Max users curious why no night mode came with the iOS 13.5? And the XR why no REAL portra… https://t.co/IjdCAPuZnc",0,0,0,False
2,2020-05-26,Iphone xr,1265070306743418881,RegularshareNet,Regular Share,"Buy Now 👉👉https://t.co/3J0xWTko2D
 😍 For iPhone Cable Original 2A Fast Charging Cable For iPhone XS Max XR X 8 7 6.… https://t.co/xQLIgzVa2p",0,0,0,False
3,2020-05-25,Iphone xr,1265069369320787975,IslesFan_Ben,Ben,The official @Apple clear case for the iPhone XR is the worst case I’ve ever had/used in my life.,0,0,0,False
4,2020-05-25,Iphone xr,1265068519546408960,Famous_Qveer,Chocolate Gumball 🍫🌈,"@TheeAnimeShawty I’m recently getting into photography/videography, my brand name is Gummy Illustrations. These pho… https://t.co/8f0lVfsYNb",1,0,1,False
5,2020-05-25,Iphone xr,1265068387614498816,SDeal4u,SmartDeal4u,#hashtag4 Game console SWITCH Remote Control Handle Phone Case For iPhone 11 Pro Max 6 6s 7 8 Plus X Xs max Xr Game… https://t.co/sNEHVFm4e5,0,0,0,False
6,2020-05-25,Iphone xr,1265066082995515401,7abib0,7abib0,@CokePokes also not possible to downgrade as I am getting “the request timed out” error. iPhone XR,0,0,0,False
7,2020-05-25,Iphone xr,1265066016452870147,Konfamgadgets,YOUR GADGET PLUG 🔌🔌,"Fastest finger 💨 💨 
iPhone XR blue 64 GB
Price : 215k https://t.co/79MFhFIjnF",0,0,0,False
8,2020-05-25,Iphone xr,1265065576910786561,Konfamgadgets,YOUR GADGET PLUG 🔌🔌,"Fastest finger 💨 💨 
iPhone XR blue 64 GB
Price : 210k https://t.co/p6rEu68v0E",0,0,0,False
9,2020-05-25,Iphone xr,1265065441917054980,Emiloc1987,Émiloc,The video quality sounds horrible for an iPhone XR,3,0,0,False
10,2020-05-25,Iphone xr,1265064006462685186,mingyuswon,ren 🐶,made this into a lockscreen :-) its in iphone xr dimensions so idk how it fits on other phones but ! https://t.co/gShP299mY0,1,0,0,False
11,2020-05-25,Iphone xr,1265062716860854272,RegularshareNet,Regular Share,"⁉️ YOU WON`T BELIEVE IT ⁉️
We`re selling Anti Spy Tempered Glass For iPhone 7 6 6S 8 Plus X XS XR, iPhone 6 7 8 XS… https://t.co/Y9B9J3LyrK",0,0,1,False
12,2020-05-25,Iphone xr,1265062627543310338,iDownloadBlog,iDownloadBlog,Wondering about some of the best clear cases for your #iPhoneXR or #iPhoneXS? We just updated our #roundup with new… https://t.co/iZOHKqEcOx,2,0,0,False
13,2020-05-25,Iphone xr,1265062117864022016,stealsrus_com,StealsRUs,"USB Wall Charger, Anker 60W 6 Port USB Charging Station, PowerPort 6 Multi USB Charger for iPhone Xs/Max/XR/X/8/7/P… https://t.co/gpu1SbVY99",0,0,0,False
14,2020-05-25,Iphone xr,1265061924917698562,wow48769561,wow,#hashtag4 KUULAA Qi Wireless Charger 10W for iPhone X XS 8 XR Samsung S9 Xiaomi Fast Wireless Charging Dock Station… https://t.co/DNCZYyRzAs,0,0,0,False
15,2020-05-25,Iphone xr,1265061438734753793,juliajacobo19,Julia Jacobo,"UNBREAKcable Screen Protector for iPhone XR, iPhone 11 3-Pack 6.1 Inch - 2.5D 9H Premium Tempered Glass for iPhone… https://t.co/uv5HvCiDTv",0,0,0,False
16,2020-05-25,Iphone xr,1265057947198971904,spopovvv,Stephan Popov,How to Clear RAM on iPhone X/XR/XS/XS MAX/11/11 Pro/11 Pro MAX https://t.co/J4Ng6xfvtt,0,0,0,False
17,2020-05-25,Iphone xr,1265056285923270656,wqredlqb,HotDeals,"【2020 Upgraded】 Miracase Car Phone Mount, Air Vent Cell Phone Holder for Car, Universal Car Phone Holder Cradle Com… https://t.co/5OpsAidMTM",0,0,0,False
18,2020-05-25,Iphone xr,1265055411952070673,runningwatches2,runningwatches1,"Fanny Pack Waist Bag Travel Pocket Chest Shoulder Bag Running Belt, for Running, Workouts, Cycling, Money Belt More… https://t.co/5R2LFUc7I9",0,0,0,False
19,2020-05-25,Iphone xr,1265055354997690368,vacuumus,vacuumus,"Fanny Pack Waist Bag Travel Pocket Chest Shoulder Bag Running Belt, for Running, Workouts, Cycling, Money Belt More… https://t.co/AAW3e7I6HC",0,0,0,False
20,2020-05-25,Iphone xr,1265055120024391681,bobbygrimes81,Bobby Grimes,@MGC3I This is the one I’m looking at https://t.co/YrE59R7B1U that’s the 10,0,0,0,False
21,2020-05-25,Iphone xr,1265054887483781124,UtdJackk,.🏴󠁧󠁢󠁳󠁣󠁴󠁿,"@ftblibrahim curtis main, style 1 and iphone xr",0,0,0,False
22,2020-05-25,Iphone xr,1265054549720645633,tradeteamFX,The Money Team 💸,"🎉IPHONE GIVEAWAY🎉
Hello Twitter! I am a forex trader who also buys things to sell. I want to be nice and give this… https://t.co/XavEbfieRm",3,0,3,False
23,2020-05-25,Iphone xr,1265053211746058248,Hlulie_,LIONESS,@Katlego_Masupa I’ve started using iPhone since 5c.... my peace is now at XR.. it lasts the whole day . 6s was the worst of them all.,0,0,0,False
24,2020-05-25,Iphone xr,1265053060486713345,steevengamboa,gambino,I’m so happy my entire family is on a modern iPhone! Oldest phone in the fleet is a iPhone XR 🥰,0,0,0,False
25,2020-05-25,Iphone xr,1265052993470304257,WDWMonorailGuy,🚝 🇦🇱Brandon Donahue 🇽🇰🚝,Probably will keep my iPhone 7 Plus for two years and then trade it in for the iPhone XR.,0,0,0,False
26,2020-05-25,Iphone xr,1265050238269693952,droneonthemoon,🅂🅃🄰🅈🄰🅃🄷🄾🄼🄴,"AUKEY Power Delivery Power Bank 20000mAh, USB C Portable Charger with 18W PD and Quick Charge 3.0 Battery Pack, Com… https://t.co/2HaJ0FNkEl",0,0,0,False
27,2020-05-25,Iphone xr,1265049693358305280,yeriurl,hallie YEJI DAY,Omggg click this link for a new iPhone XR 🤭 https://t.co/rOwLjqktmB,1,0,0,False
28,2020-05-25,Iphone xr,1265049191207837697,PLAY4CASESSHOES,PLAY4CASES,For #iPhone 11 Pro Max XS XR 6s 7 8 Plus Shell Flower Stand Holder Case 💐💃🌺 https://t.co/JnObUHayyU,0,0,0,False
29,2020-05-25,Iphone xr,1265048484341788672,SprintTelephone,Sprint Telephone,"iPhone XR for only 10$ a month!
Don’t miss out on this amazing deal!
Stop by your sprint store at 3341 Telephone ro… https://t.co/GAY1wNbQwn",0,0,0,False
30,2020-05-25,Iphone xr,1265046715909865473,lorinechang35,Lorine Chang,(Update Version) UOEOS 2 in 1 Wireless Charger for iWatch &amp; iPhone Charger Cable for All iWatch Series 5/4/3/2/1/&amp;… https://t.co/NSNotcs89f,0,0,0,False
31,2020-05-25,Iphone xr,1265044110685007875,karencline62,Karen Cline,"PRLANYDAR iPhone/iPad Charger, (2 Pack) [Original Cable for Apple] Lightning Cable Charging Cord USB Charger Cable… https://t.co/l9mf0tT2Yv",0,0,0,False
32,2020-05-25,Iphone xr,1265043872251445248,loljustsam,Sammie,"@Apple you know, I can't even be mad because this little cube lasted me through 5 years and I got it when I got my… https://t.co/z0KQq2An0Y",0,0,0,False
33,2020-05-25,Iphone xr,1265040404484890627,MrsBossATL,IG: MrsBossATL,"Check out this product 😍 Boucho Colorful Oil Painting Matte Back Cover For iphone 6 6s 7 8 plus... 😍 
by eprolo sta… https://t.co/5m3Ty52qtj",0,0,0,False
34,2020-05-25,Iphone xr,1265039450565783553,herman_permata,Herman Chen,How to Clear RAM on iPhone X/XR/XS/XS MAX/11/11 Pro/11 Pro MAX https://t.co/7wbYetpdHv,0,0,0,False
35,2020-05-25,Iphone xr,1265039039981162496,amyacosta83,Amy Acosta,IPOW Car Phone Mount Holder Hands Free Car Phone Holder Dashboard Gravity Cell Phone Holder Mount with Auto Retract… https://t.co/vpAo7PiTua,0,0,0,False
36,2020-05-25,Iphone xr,1265038789199552512,evaly54,Eva Ly,"[Apple MFi Certified] iPhone Charger, 2 Pack 3FT Lightning to USB Fast Charging Data Sync Transfer Cable with 2 Pac… https://t.co/JWm69C0YAe",0,0,0,False
37,2020-05-25,Iphone xr,1265038714968907776,Sadoun,Sadoun Sales International,Luxury Armor Metal Aluminum Phone Case for iPhone XS iPhoneMAX iPhoneXR iPhoneX iPhone7 Full Body Cover Shockproof… https://t.co/tfJU38N8L6,0,0,0,False
38,2020-05-25,Iphone xr,1265038563856482306,ycee_official,Official ycee,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/xpQh3B0k5l",0,0,0,False
39,2020-05-25,Iphone xr,1265038552917856257,Ruggedhits1,kindly follow back,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/r2Crlgv6NC",0,0,0,False
40,2020-05-25,Iphone xr,1265038542654377984,designit_247,designit247,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/vche6BviFz",0,0,0,False
41,2020-05-25,Iphone xr,1265038533019893760,Annabel9285,please follow back,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/c4BXUfe9V1",0,0,0,False
42,2020-05-25,Iphone xr,1265038522962108416,ItScuteblinks,It'scuteblinks,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/gtgpnYgO0H",0,0,0,False
43,2020-05-25,Iphone xr,1265038510211444737,steve911n,Steve,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/nQqz9am5ki",0,0,0,False
44,2020-05-25,Iphone xr,1265038499759230981,Mikeomar10,Mike omar,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/ENzVMRl0Mq",0,0,0,False
45,2020-05-25,Iphone xr,1265038489885818880,PrettyPlateau,Plateau pretty,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/9LEiXeqIau",0,0,0,False
46,2020-05-25,Iphone xr,1265038479513325568,Blessingbadoo1,Blessing badoo,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/7VrzfoCrpk",0,0,0,False
47,2020-05-25,Iphone xr,1265038469526704128,rumeblinks92,rumeblinks,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/AUD8tuBCgg",0,0,0,False
48,2020-05-25,Iphone xr,1265038459842019328,Jackanna5,Jack anna,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/SyIezthMWn",0,0,0,False
49,2020-05-25,Iphone xr,1265038449448452100,toxicmob1,actionbaze,"B-Land Bike Phone Mount Cell Phone Holder for Motorcycle – Bike Handlebars, 360° Adjustable Universal Motorcycle Ph… https://t.co/vb0rwOoPpV",0,0,0,False
50,2020-05-25,Iphone xr,1265037737469661185,stealsrus_com,StealsRUs,"Car Charger, Anker 24W Dual USB Car Charger Adapter, PowerDrive 2 for iPhone XS/MAX/XR/X/8/7/6/Plus, iPad Pro/Air 2… https://t.co/riV0lQwqJe",0,0,0,False
51,2020-05-25,Iphone xr,1265037710710001667,droneonthemoon,🅂🅃🄰🅈🄰🅃🄷🄾🄼🄴,"10 ft Charger Cable,3Pack 10ft Black Fast USB Charger, [MFi Certified] Durable Nylon Braided Charger Cable Compatib… https://t.co/a9xwoEhFWv",0,0,0,False
52,2020-05-25,Iphone xr,1265037571530338309,kdpwrites,KD Proctor,"In other news I snapped this pic this afternoon:  an ant on a peony bud in my backyard.

Shot with my iPhone XR usi… https://t.co/YR71lpF7mn",2,0,0,False
53,2020-05-25,Iphone xr,1265037556137287680,droneonthemoon,🅂🅃🄰🅈🄰🅃🄷🄾🄼🄴,"Case for iPhone Xr,Pu-Leather 3D Printing Wallet Case [Durable] Flip Kickstand with Credit Card Holder &amp; Wrist Stra… https://t.co/EEuREIAwWy",0,0,0,False
54,2020-05-25,Iphone xr,1265036942309285890,thatboiquan211,Quan ツ,@senqaibtw I'm saving for a Iphone xr 🤷🏾‍♀️,0,0,0,False
55,2020-05-25,Iphone xr,1265036652746928128,alishaboehm30,Alisha Boehm,"[Apple MFi Certified] iPhone 3.5 mm Headphone Adapter, 2 in 1 Lightning to 3.5mm Headphone Audio &amp; Charger Dongle S… https://t.co/EaG4Kudx4u",0,0,0,False
